Bytes,Description
 23 E2 83 A3,number_sign_+_combining_enclosing_keycap
 E2 84 A2,trade_mark_sign
 E2 84 B9,information_source
 E2 86 94,left_right_arrow
 E2 86 95,up_down_arrow
 E2 86 96,north_west_arrow
 E2 86 97,north_east_arrow
 E2 86 98,south_east_arrow
 E2 86 99,south_west_arrow
 E2 86 A9,leftwards_arrow_with_hook
 E2 86 AA,rightwards_arrow_with_hook
 E2 8C 9A,watch
 E2 8C 9B,hourglass
 E2 8F A9,black_right-pointing_double_triangle
 E2 8F AA,black_left-pointing_double_triangle
 E2 8F AB,black_up-pointing_double_triangle
 E2 8F AC,black_down-pointing_double_triangle
 E2 8F B0,alarm_clock
 E2 8F B3,hourglass_with_flowing_sand
 E2 96 AA,black_small_square
 E2 96 AB,white_small_square
 E2 96 B6,black_right-pointing_triangle
 E2 97 80,black_left-pointing_triangle
 E2 97 BB,white_medium_square
 E2 97 BC,black_medium_square
 E2 97 BD,white_medium_small_square
 E2 97 BE,black_medium_small_square
 E2 98 80,black_sun_with_rays
 E2 98 81,cloud
 E2 98 8E,black_telephone
 E2 98 91,ballot_box_with_check
 E2 98 94,umbrella_with_rain_drops
 E2 98 95,hot_beverage
 E2 98 9D,white_up_pointing_index
 E2 98 BA,white_smiling_face
 E2 99 88,aries
 E2 99 89,taurus
 E2 99 8A,gemini
 E2 99 8B,cancer
 E2 99 8C,leo
 E2 99 8D,virgo
 E2 99 8E,libra
 E2 99 8F,scorpius
 E2 99 90,sagittarius
 E2 99 91,capricorn
 E2 99 92,aquarius
 E2 99 93,pisces
 E2 99 A0,black_spade_suit
 E2 99 A3,black_club_suit
 E2 99 A5,black_heart_suit
 E2 99 A6,black_diamond_suit
 E2 99 A8,hot_springs
 E2 99 BB,black_universal_recycling_symbol
 E2 99 BF,wheelchair_symbol
 E2 9A 93,anchor
 E2 9A A0,warning_sign
 E2 9A A1,high_voltage_sign
 E2 9A AA,medium_white_circle
 E2 9A AB,medium_black_circle
 E2 9A BD,soccer_ball
 E2 9A BE,baseball
 E2 9B 84,snowman_without_snow
 E2 9B 85,sun_behind_cloud
 E2 9B 8E,ophiuchus
 E2 9B 94,no_entry
 E2 9B AA,church
 E2 9B B2,fountain
 E2 9B B3,flag_in_hole
 E2 9B B5,sailboat
 E2 9B BA,tent
 E2 9B BD,fuel_pump
 E2 A4 B4,arrow_pointing_rightwards_then_curving_upwards
 E2 A4 B5,arrow_pointing_rightwards_then_curving_downwards
 E2 AC 85,leftwards_black_arrow
 E2 AC 86,upwards_black_arrow
 E2 AC 87,downwards_black_arrow
 E2 AC 9B,black_large_square
 E2 AC 9C,white_large_square
 E2 AD 90,white_medium_star
 E2 AD 95,heavy_large_circle
 E3 80 B0,wavy_dash
 E3 80 BD,part_alternation_mark
 E3 8A 97,circled_ideograph_congratulation
 E3 8A 99,circled_ideograph_secret
 F0 9F 80 84,mahjong_tile_red_dragon
 F0 9F 83 8F,playing_card_black_joker
 F0 9F 8C 80,cyclone
 F0 9F 8C 81,foggy
 F0 9F 8C 82,closed_umbrella
 F0 9F 8C 83,night_with_stars
 F0 9F 8C 84,sunrise_over_mountains
 F0 9F 8C 85,sunrise
 F0 9F 8C 86,cityscape_at_dusk
 F0 9F 8C 87,sunset_over_buildings
 F0 9F 8C 88,rainbow
 F0 9F 8C 89,bridge_at_night
 F0 9F 8C 8A,water_wave
 F0 9F 8C 8B,volcano
 F0 9F 8C 8C,milky_way
 F0 9F 8C 8F,earth_globe_asia-australia
 F0 9F 8C 91,new_moon_symbol
 F0 9F 8C 93,first_quarter_moon_symbol
 F0 9F 8C 94,waxing_gibbous_moon_symbol
 F0 9F 8C 95,full_moon_symbol
 F0 9F 8C 99,crescent_moon
 F0 9F 8C 9B,first_quarter_moon_with_face
 F0 9F 8C 9F,glowing_star
 F0 9F 8C A0,shooting_star
 F0 9F 8C B0,chestnut
 F0 9F 8C B1,seedling
 F0 9F 8C B4,palm_tree
 F0 9F 8C B5,cactus
 F0 9F 8C B7,tulip
 F0 9F 8C B8,cherry_blossom
 F0 9F 8C B9,rose
 F0 9F 8C BA,hibiscus
 F0 9F 8C BB,sunflower
 F0 9F 8C BC,blossom
 F0 9F 8C BD,ear_of_maize
 F0 9F 8C BE,ear_of_rice
 F0 9F 8C BF,herb
